titles_years,genres,ratings,streamings,justwatchs
 The Holdovers (2023),"Drama, Comedy",7.9 (157k),"Currently you are able to watch ""The Holdovers"" streaming on Jio Cinema. It is also possible to buy ""The Holdovers"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Apple TV, Hungama Play, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/the-holdovers
 K.G.F: Chapter 1 (2018),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.2 (100k),"Currently you are able to watch ""K.G.F: Chapter 1"" streaming on Hotstar for free with ads. ",https://www.justwatch.com/in/movie/k-g-f-chapter-1
 Vikram (2022),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.3 (76k),"Currently you are able to watch ""Vikram"" streaming on Zee5 or for free with ads on Hotstar. ",https://www.justwatch.com/in/movie/vikram-2021
 Gladiator (2000),"Drama, Action & Adventure",8.5 (2m),"Currently you are able to watch ""Gladiator"" streaming on Amazon Prime Video, Jio Cinema. It is also possible to buy ""Gladiator"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Apple TV, Google Play Movies, YouTube, Hungama Play online. ",https://www.justwatch.com/in/movie/gladiator
 Anyone But You (2023),"Romance, Comedy",6.1 (108k),"Currently you are able to watch ""Anyone But You"" streaming on Netflix. It is also possible to buy ""Anyone But You"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Google Play Movies, YouTube, Apple TV online. ",https://www.justwatch.com/in/movie/anyone-but-you
 Incendies (2010),"Drama, War & Military, Mystery & Thriller, Made in Europe",8.3 (207k),Unavalilabe,https://www.justwatch.com/in/movie/incendies
 Malayalee from India (2024),"Action & Adventure, Comedy, Drama",5.8 (4.5k),"Currently you are able to watch ""Malayalee from India"" streaming on Sony Liv. ",https://www.justwatch.com/in/movie/malayalee-from-india
 The Witch (2016),"Drama, Horror, Fantasy, Mystery & Thriller, Made in Europe",7.0 (307k),Unavalilabe,https://www.justwatch.com/in/movie/the-witch
 Sultan (2016),"Romance, Sport, Action & Adventure, Drama",7.1 (52k),"Currently you are able to watch ""Sultan"" streaming on Amazon Prime Video. It is also possible to buy ""Sultan"" on Apple TV, Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube, Amazon Video, Apple TV online. ",https://www.justwatch.com/in/movie/sultan
 Fifty Shades of Grey (2015),"Drama, Romance, Mystery & Thriller",4.2 (339k),"Currently you are able to watch ""Fifty Shades of Grey"" streaming on Jio Cinema or rent it on Zee5 online. ",https://www.justwatch.com/in/movie/fifty-shades-of-grey
 Crew (2024),"Comedy, Drama",5.9 (35k),"Currently you are able to watch ""Crew"" streaming on Netflix. ",https://www.justwatch.com/in/movie/the-crew-2024
 Despicable Me 4 (2024),"Kids & Family, Comedy, Action & Adventure, Animation, Crime, Science-Fiction",6.3 (20k),Unavalilabe,https://www.justwatch.com/in/movie/despicable-me-4-2024
 Monkey Man (2024),"Action & Adventure, Mystery & Thriller, Crime",6.9 (63k),Unavalilabe,https://www.justwatch.com/in/movie/monkey-man
